Center;Latitude;Longtitude
Alcantara Space Center;-2.338099318825337; -44.41765039100876
Baikonur Cosmodrome;45.96508585909756; 63.30523338053417
Barents Sea Launch Area;69.47898528602607; 34.11194553812895
Base Aerea de Gando;27.936073304285156; -15.374689860520142
Blue Origin Launch Site;31.451755830704162;-104.7628189067463
Boca Chica;25.99621932121406; -97.15445073814915
Cape Canaveral AFS;28.471492389041384; -80.53777802007278
Edwards AFB;34.905488776449545; -117.8835373975651
Guiana Space Centre;27.93673747060517; -15.374612679768829
Hammaguir Algeria;30.879793469546364; -3.0592032519531966
Jiuquan Satellite Launch Center;40.95858351852786; 100.29089118869042
Kapustin Yar;48.57563942505873; 45.762354544271254
Kennedy Space Center;28.626971006899318; -80.62138940928357
Kiritimati Launch Area;1.892156642386881; -157.41862593912913
Mojave Air and Space Port;35.06169272469605; -118.15661847961023
Naro Space Center;34.452328558094486; 127.51834341381387
Naval Air Station Point Mugu;34.114924996869725; -119.1086215776401
Pacific Missile Range Facility;22.0352476097434; -159.7837705734649
Pacific Spaceport Complex;57.43523907583111; -152.33964267477387
Palmachim Airbase;31.901329644898695; 34.692884569721
Plesetsk Cosmodrome;62.92747889669539; 40.575173392412765
RAAF Woomera Range Complex;-31.18455974563959; 136.8105527395681
Rocket Lab Launch Complex 1;-39.260648448583915; 177.86559478269155
Ronald Reagan Ballistic Missile Defense Test Site;8.721371445980882; 167.7341397761035
San Marco Launch Platform;-2.9956801850347192; 40.1950506061122
Satish Dhawan Space Centre;13.724125592729505; 80.16445714339342
Semnan Space Center;35.238736046960696; 53.94976931640646
Shahrud Missile Test Site;36.41634225561623; 54.97281614797662
Sohae Satellite Launching Station;39.652896239968044; 124.73650386417405
Spaceport America;32.99013017553651; -106.97517719106547
Svobodny Cosmodrome;51.84928610361716; 128.35534619984065
Tai Rui Barge;37.190157883969; 123.95044489298822
Taiyuan Satellite Launch Center;38.848527337481; 111.60804737049651
Tanegashima Space Center;30.374771350643613; 130.95769595059443
Tonghae Satellite Launching Ground;40.84018018748043; 129.4950250957016
Uchinoura Space Center;31.251225968392337; 131.07605560094277
Vandenberg AFB;34.73879602473332; -120.56961001484432
Vostochny Cosmodrome;51.84928610361716; 128.35534619984065
Wallops Flight Facility;37.93280957670982; -75.47214821794196
Wenchang Satellite Launch Center;19.54321220650602; 110.79766989511486
Xichang Satellite Launch Center;19.54321220650602; 110.79766989511486
Yasny Cosmodrome;51.094244385040305; 59.8424436133007
